dataset_id,dataset_name,layer,granularity,temporal_coverage,source,primary_path,producer_script,consumer_scripts,key_columns,update_cycle,qc_checks
D005D,Registered Resident Population Monthly,intermediate,adm_cd-year-month,2018-2025,MOIS registered population,01_Data/03_Processed_Data/01_Intermediate/registered_resident_population_monthly.parquet,02_Code/01_preprocess/05_build_registered_resident_population.R,05_build_registered_resident_population.R;03_open_outputs_for_rstudio_review.R,adm_cd;year;month,monthly stock,age-band sum check;monthly coverage
D028,Medical Source Preagg,intermediate,record-level pre-aggregation,2019-2025,Public data,01_Data/03_Processed_Data/01_Intermediate/medical_source_preagg.parquet,02_Code/01_preprocess/03_build_auxiliary_covariates.R,03_build_auxiliary_covariates.R;03_open_outputs_for_rstudio_review.R,medical_record_id,irregular permit records,geocoded permit records before annual status aggregation
D029,Mall Source Preagg,intermediate,record-level pre-aggregation,2019-2025,Public data,01_Data/03_Processed_Data/01_Intermediate/mall_source_preagg.parquet,02_Code/01_preprocess/03_build_auxiliary_covariates.R,03_build_auxiliary_covariates.R;03_open_outputs_for_rstudio_review.R,mall_record_id,irregular permit records,geocoded permit records before annual status aggregation
D030,Senior Source Preagg,intermediate,record-level pre-aggregation,static source expanded only at aggregation step,Public data,01_Data/03_Processed_Data/01_Intermediate/senior_source_preagg.parquet,02_Code/01_preprocess/03_build_auxiliary_covariates.R,03_build_auxiliary_covariates.R;03_open_outputs_for_rstudio_review.R,senior_record_id,static facility records,deduplicated facility records before annual count aggregation
D033,Walk Betweenness Cache,analysis,adm_cd,static walk network snapshot,Public data,01_Data/03_Processed_Data/02_Analysis_Ready/walk_betweenness_local800_len_v1.parquet,02_Code/01_preprocess/03_build_auxiliary_covariates.R,03_build_auxiliary_covariates.R;03_open_outputs_for_rstudio_review.R,adm_cd,refresh when walk spec changes,spec metadata match;full adm coverage after successful run
D022,Panel Merged Base,panel,adm_cd-yq,2019Q1-2025Q4 panel;2019Q4-2025Q4 analysis,Integrated,01_Data/03_Processed_Data/03_Panel/panel_merged_base.parquet,02_Code/01_preprocess/06_build_analysis_panel.R,01_validate_method_dataset_alignment.R;03_open_outputs_for_rstudio_review.R,adm_cd;yq,quarterly,key uniqueness;join parity
D023,Main Panel Pre-Vitality,panel,adm_cd-yq,2019Q1-2025Q4 panel;2019Q4-2025Q4 analysis,Integrated,01_Data/03_Processed_Data/03_Panel/panel_main_pre_vitality.parquet,02_Code/01_preprocess/06_build_analysis_panel.R,02_Code/01_preprocess/07_build_vitality_index.R;01_validate_method_dataset_alignment.R;02_check_processed_parquet_outputs.R;03_open_outputs_for_rstudio_review.R,adm_cd;yq,quarterly,key uniqueness;row parity with final panel;approved lag coverage;forbidden unregistered temporal-derived column check
D006,Main Panel,panel,adm_cd-yq,2019Q1-2025Q4 panel;2019Q4-2025Q4 analysis,Integrated,01_Data/03_Processed_Data/03_Panel/panel_main.parquet,02_Code/01_preprocess/07_build_vitality_index.R,02_run_esda.R;01_run_twfe_main.R;02_run_twfe_interaction_models.R;02_run_spdm_main.R;03_run_spdm_channel_path.R;01_run_spdm_interaction_models.R;01_run_spdm_w_robustness.R;05_run_spdm_family_comparison_sidecar.R;01_run_gtwr_main.R;02_run_robustness.R;01_make_tables_figures.R;01_validate_method_dataset_alignment.R;02_check_processed_parquet_outputs.R;03_open_outputs_for_rstudio_review.R,adm_cd;yq,quarterly,key uniqueness;missingness;canonical quarter columns retained;analysis readers filter to 2019Q4-2025Q4
D007,Spatial Weights,panel,adm_cd graph,2020 admin-dong boundary,Derived spatial,01_Data/03_Processed_Data/03_Panel/W_queen.rds,02_Code/02_esda/01_build_spatial_weights.R,02_run_esda.R;02_run_spdm_main.R;03_run_spdm_channel_path.R;01_run_spdm_interaction_models.R;01_run_spdm_w_robustness.R;02_run_robustness.R,node_id,static,connectivity;isolates
D010,Method Dataset Contract Check,log,check_id-row,run-time QC,Derived QC,03_Output/04_Logs/method_dataset_contract_check.csv,02_Code/06_qc/01_validate_method_dataset_alignment.R,run_all.R,check_id,per run,required dataset existence;required output existence;quarterly time-range contract
D012,Land Price Imputation QC,log,year-row,run-time QC,Derived QC,03_Output/04_Logs/land_price_imputation_qc.csv,02_Code/01_preprocess/03_build_auxiliary_covariates.R,06_build_analysis_panel.R;01_validate_method_dataset_alignment.R,year,per run,observed vs imputed coverage by year
D013,Panel Join Coverage QC,log,year-variable,run-time QC,Derived QC,03_Output/04_Logs/panel_join_coverage_qc.csv,02_Code/01_preprocess/06_build_analysis_panel.R,01_validate_method_dataset_alignment.R,source;year;variable,per run,post-join non-missing share by variable and year
D014,Panel Quarter Aggregation QC,log,variable-row,run-time QC,Derived QC,03_Output/04_Logs/panel_quarter_aggregation_qc.csv,02_Code/01_preprocess/02_build_seoul_quarter_base.R,06_build_analysis_panel.R;01_validate_method_dataset_alignment.R,variable,per run,quarterly publication rule compliance;coverage consistency;quarter keys retained
D015,Vitality Component QC,log,component-row,run-time QC,Derived QC,03_Output/04_Logs/vitality_component_qc.csv,02_Code/01_preprocess/07_build_vitality_index.R,01_validate_method_dataset_alignment.R,component,per run,required component presence;finite-value checks
D037,Living Population Inflow Manifest,log,zip-member-row,run-time QC,Derived QC,03_Output/04_Logs/living_population_inflow_manifest.csv,02_Code/80_optional/preprocess/01_build_living_population_inflow.R,06_build_analysis_panel.R,dataset;file_path;member_name,per run,success skipped error status;rows read and used;month_success_days;month_expected_days;month_coverage_flag
D038,Living Population Inflow QC,log,yq-variable-row,run-time QC,Derived QC,03_Output/04_Logs/living_population_inflow_qc.csv,02_Code/80_optional/preprocess/01_build_living_population_inflow.R,06_build_analysis_panel.R,variable;yq,per run,finite coverage;missing count;value range
D039,Golmok Survival Rate QC,log,run-row,run-time QC,Derived QC,03_Output/04_Logs/golmok_survival_rate_qc.csv,02_Code/01_preprocess/04_build_golmok_survival_rate.R,06_build_analysis_panel.R;07_build_vitality_index.R,run_ts,per run,key uniqueness;quarterly coverage;rate range;small cohort count;ratio recomputation diff
D040,Registered Resident Population Mapping QC,log,source-year-admin-row,run-time QC,Derived QC,03_Output/04_Logs/registered_resident_population_mapping_qc.csv,02_Code/01_preprocess/05_build_registered_resident_population.R,05_build_registered_resident_population.R;06_build_analysis_panel.R,source_year;gu_name;dong_name_raw,per run,source administrative name to canonical adm_cd mapping status
D041,Registered Resident Population QC,log,yq-row,run-time QC,Derived QC,03_Output/04_Logs/registered_resident_population_qc.csv,02_Code/01_preprocess/05_build_registered_resident_population.R,06_build_analysis_panel.R;01_validate_method_dataset_alignment.R,scope;yq,per run,key uniqueness;3-month coverage;age60 share range;age-sum diff;split-boundary allocation count
D018,Processed Parquet QC Checks,log,check_id-row,run-time QC,Derived QC,03_Output/04_Logs/processed_parquet_qc_checks.csv,02_Code/06_qc/02_check_processed_parquet_outputs.R,manual_qc_review,check_id,manual run,processed outputs integrity;coverage;schema checks
D034,Processed Parquet Inventory,log,file_path-row,run-time QC,Derived QC,03_Output/04_Logs/processed_parquet_inventory.csv,02_Code/06_qc/02_check_processed_parquet_outputs.R,manual_qc_review;03_open_outputs_for_rstudio_review.R,file_path,manual run,processed parquet presence and readability inventory
D035,Processed Parquet Schema,log,file_path-column,run-time QC,Derived QC,03_Output/04_Logs/processed_parquet_schema.csv,02_Code/06_qc/02_check_processed_parquet_outputs.R,manual_qc_review;03_open_outputs_for_rstudio_review.R,file_path;column_name,manual run,processed parquet schema coverage by file
D036,Processed Parquet Missing Summary,log,file_path-variable,run-time QC,Derived QC,03_Output/04_Logs/processed_parquet_missing_summary.csv,02_Code/06_qc/02_check_processed_parquet_outputs.R,manual_qc_review;03_open_outputs_for_rstudio_review.R,file_path;variable,manual run,processed parquet missingness profile by file and variable
